id_hecho,n_victimas,fecha,franja_horaria,direccion_normalizada,comuna,longitud,latitud,victima,acusado,rol,sexo,edad,gravedad,dia_semana
2016-0174,1,2016-12-27,0.0,AUTOPISTA 25 DE MAYO,3,-58.4628592,-34.6461363,,,,,,lesionado,Tuesday
2016-0175,1,2016-12-27,8.0,"FALCON, RAMON L.,CNEL. y MEMBRILLAR",7,-58.46064174,-34.62960517,PEATON,BICICLETA,PEATON,femenino,,lesionado,Tuesday
2016-0176,1,2016-12-28,1.0,BELGRANO AV. y PASEO COLON AV.,1,-58.36956186,-34.61232875,MOTO,PASAJEROS,CONDUCTOR,masculino,28.0,lesionado,Wednesday
2016-0177,1,2016-12-29,4.0,ARENALES 3319,14,-58.40966671,-34.58788235,PEATON,AUTO,PEATON,femenino,27.0,lesionado,Thursday
2016-0178,1,2016-12-30,16.0,REPUBLICA BOLIVARIANA DE VENEZUELA y SAAVEDRA,3,-58.40288226,-34.61544091,PEATON,MULTIPLE,PEATON,femenino,7.0,lesionado,Friday
2017-0001,1,2017-01-02,1.0,"JUSTO, JUAN B. AV. y ACHUPALLAS",11,-58.46594230,-34.61028571,MOTO,CARGAS,CONDUCTOR,masculino,18.0,fatal,Monday
2017-0003,1,2017-01-05,3.0,OLAVARRIA y VELEZ SARSFIELD AV.,4,-58.38957669,-34.64410277,CARGAS,CARGAS,PASAJERO_ACOMPAÑANTE,masculino,33.0,fatal,Thursday
2017-0007,1,2017-01-11,17.0,LIMA y MEXICO,1,-58.38161660,-34.61529543,PEATON,MULTIPLE,PEATON,masculino,48.0,fatal,Wednesday
2017-0008,1,2017-01-16,0.0,"CABRERA, JOSE A. y BONPLAND",14,-58.43917004,-34.58494351,MOTO,PASAJEROS,CONDUCTOR,masculino,29.0,fatal,Monday
2017-0009,1,2017-01-16,13.0,AUTOPISTA 25 DE MAYO y BOEDO AV.,5,-58.41595919,-34.62743346,MOTO,CARGAS,CONDUCTOR,masculino,36.0,fatal,Monday
2017-0010,1,2017-01-16,16.0,DIRECTORIO AV. y RIGLOS,6,-58.43564880,-34.62828656,MOTO,AUTO,CONDUCTOR,masculino,23.0,fatal,Monday
2017-0011,1,2017-01-22,2.0,"PAZ, GRAL. AV. y BALBIN, RICARDO, DR. AV.",12,-58.50073810,-34.54979510,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,femenino,29.0,fatal,Sunday
2017-0012,1,2017-01-24,14.0,"TRAFUL y TABORDA, DIOGENES",4,-58.40969005,-34.65055290,MOTO,CARGAS,CONDUCTOR,masculino,30.0,fatal,Tuesday
2017-0013,1,2017-01-27,7.0,"IRIARTE, GRAL. AV. 3055",4,-58.38972622,-34.65098981,PEATON,CARGAS,PEATON,masculino,4.0,fatal,Friday
2017-0014,1,2017-01-28,8.0,DONADO y ARIAS,12,-58.49185972,-34.55046754,MOTO,MULTIPLE,PASAJERO_ACOMPAÑANTE,femenino,22.0,fatal,Saturday
2017-0015,1,2017-02-02,15.0,CORDOBA AV. y CALLAO AV.,2,-58.39293417,-34.59963642,PEATON,AUTO,PEATON,masculino,82.0,fatal,Thursday
2017-0016,1,2017-02-03,5.0,AUTOPISTA 25 DE MAYO KM. 8.3,1,-58.38099494,-34.62288231,MOTO,CARGAS,CONDUCTOR,masculino,27.0,fatal,Friday
2017-0017,1,2017-02-06,8.0,"JUSTO, JUAN B. AV. y PARAGUAY",14,-58.42901200,-34.58095431,MOTO,AUTO,CONDUCTOR,masculino,32.0,fatal,Monday
2017-0018,1,2017-02-09,7.0,"PAZ, GRAL. AV. y DE LOS CORRALES AV.",9,-58.50877521,-34.66977709,MOTO,AUTO,CONDUCTOR,masculino,30.0,fatal,Thursday
2017-0021,1,2017-02-18,5.0,SARMIENTO y LIBERTAD,1,-58.38362373,-34.60509972,MOTO,PASAJEROS,CONDUCTOR,masculino,43.0,fatal,Saturday
2017-0024,1,2017-02-23,20.0,RIVADAVIA AV. 7121,7,-58.46589308,-34.62955795,PEATON,PASAJEROS,PEATON,masculino,39.0,fatal,Thursday
2017-0025,1,2017-02-24,17.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y RIVERA INDARTE AV.",7,-58.43614426,-34.65424640,MOTO,,CONDUCTOR,masculino,23.0,fatal,Friday
2017-0026,2,2017-02-26,5.0,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,femenino,23.0,fatal,Sunday
2017-0026,2,2017-02-26,5.0,"MORENO, PERITO AV. y FOURNIER",4,-58.41842777,-34.64979057,AUTO,OBJETO FIJO,CONDUCTOR,masculino,19.0,fatal,Sunday
2017-0027,1,2017-02-26,21.0,CASEROS AV. 1429,1,-58.38332245,-34.63193250,PEATON,AUTO,PEATON,masculino,,fatal,Sunday
2017-0028,1,2017-02-28,9.0,GAONA AV. y FRAGATA PRES. SARMIENTO,6,-58.45475488,-34.61196327,PEATON,AUTO,PEATON,masculino,87.0,fatal,Tuesday
2017-0029,1,2017-03-07,2.0,MOZART y TANDIL,9,-58.48501341,-34.64742455,,AUTO,,masculino,34.0,fatal,Tuesday
2017-0030,1,2017-03-07,8.0,MOZART y AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,9,-58.47010988,-34.65872088,AUTO,PASAJEROS,CONDUCTOR,femenino,27.0,fatal,Tuesday
2017-0031,1,2017-03-11,1.0,24 DE NOVIEMBRE y PAVON,3,-58.40997560,-34.62873635,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,70.0,fatal,Saturday
2017-0032,1,2017-03-12,5.0,"PAZ, GRAL. AV. y LOS CEDROS",8,-58.48892175,-34.68359163,AUTO,AUTO,PASAJERO_ACOMPAÑANTE,femenino,40.0,fatal,Sunday
2017-0033,1,2017-03-12,7.0,"PAZ, GRAL. AV. y GUTIERREZ, RICARDO",11,-58.52466448,-34.60325478,AUTO,AUTO,CONDUCTOR,masculino,28.0,fatal,Sunday
2017-0034,1,2017-03-13,7.0,GODOY CRUZ 2651,14,-58.42554218,-34.57929036,PEATON,AUTO,PEATON,masculino,43.0,fatal,Monday
2017-0035,3,2017-03-23,5.0,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,CONDUCTOR,masculino,28.0,fatal,Thursday
2017-0035,3,2017-03-23,5.0,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,32.0,fatal,Thursday
2017-0035,3,2017-03-23,5.0,"ACHAVAL RODRIGUEZ, T., DR. AV. y VILLAFLOR, AZUCENA",1,-58.35881506,-34.61113641,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,30.0,fatal,Thursday
2017-0036,2,2017-03-29,18.0,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,femenino,,fatal,Wednesday
2017-0036,2,2017-03-29,18.0,"PAZ, GRAL. AV. y CAMPANA",12,-58.51452347,-34.58159762,MOTO,PASAJEROS,CONDUCTOR,masculino,20.0,fatal,Wednesday
2017-0037,1,2017-03-31,3.0,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO,CARGAS,CONDUCTOR,masculino,41.0,fatal,Friday
2017-0038,1,2017-04-01,19.0,CASTAÃ‘ARES AV. y LAUTARO,7,-58.44516857,-34.64363363,MOTO,AUTO,CONDUCTOR,femenino,40.0,fatal,Saturday
2017-0040,1,2017-04-03,9.0,"GUIRALDES, INT. 2699",13,-58.43834197,-34.54560369,AUTO,MULTIPLE,CONDUCTOR,masculino,43.0,fatal,Monday
2017-0041,1,2017-04-03,23.0,"FERNANDEZ MORENO, BALDOMERO 2186",7,-58.45485084,-34.63531854,MOTO,AUTO,CONDUCTOR,masculino,17.0,lesionado,Monday
2017-0042,1,2017-04-10,9.0,"LUGONES, LEOPOLDO AV.",14,.,.,MOTO,CARGAS,CONDUCTOR,masculino,,fatal,Monday
2017-0045,1,2017-04-14,6.0,NOGOYA 5940,10,-58.52449285,-34.62454175,MOTO,OBJETO FIJO,CONDUCTOR,masculino,21.0,fatal,Friday
2017-0047,1,2017-04-23,6.0,ARGENTINA AV. y CORVALAN,8,-58.46713742,-34.67198790,MOTO,AUTO,CONDUCTOR,masculino,37.0,fatal,Sunday
2017-0049,1,2017-04-27,18.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y VARELA AV.",8,-58.43850413,-34.65554754,PEATON,PASAJEROS,PEATON,masculino,22.0,fatal,Thursday
2017-0050,2,2017-04-28,11.0,"Mozart 1001, Parque Avellaneda",9,-58.48501341,-34.64742455,MOTO,CARGAS,CONDUCTOR,masculino,46.0,fatal,Friday
2017-0050,2,2017-04-28,11.0,"Mozart 1001, Parque Avellaneda",9,-58.48501341,-34.64742455,MOTO,CARGAS,PASAJERO_ACOMPAÑANTE,masculino,16.0,fatal,Friday
2017-0051,1,2017-05-01,3.0,"Avenida General Francisco Fernández de La Cruz, Flores",7,-58.43614426,-34.6542464,AUTO,AUTO,CONDUCTOR,masculino,33.0,fatal,Monday
2017-0052,1,2017-05-05,3.0,"PAZ, GRAL. AV. y GOLETA SANTA CRUZ",8,-58.49413799,-34.68095739,PEATON,CARGAS,PEATON,femenino,47.0,fatal,Friday
2017-0053,1,2017-05-05,20.0,VIEYTES y VILLARINO,4,-58.37547846,-34.65326075,MOTO,CARGAS,CONDUCTOR,masculino,28.0,fatal,Friday
2017-0054,1,2017-05-07,21.0,"DE LOS CONSTITUYENTES AV. y MORAN, PEDRO",15,-58.48680218,-34.58689719,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,femenino,20.0,fatal,Sunday
2017-0055,1,2017-05-09,8.0,DE LOS CONSTITUYENTES AV. 4900,12,-58.49563989,-34.57962262,AUTO,AUTO,CONDUCTOR,masculino,32.0,fatal,Tuesday
2017-0058,1,2017-05-09,23.0,CORDOBA AV. y LIBERTAD,1,-58.38403232,-34.59915940,PEATON,MOTO,PEATON,masculino,80.0,fatal,Tuesday
2017-0059,1,2017-05-11,9.0,BRASIL y LIMA,1,-58.38223382,-34.62693865,PEATON,PASAJEROS,PEATON,femenino,39.0,fatal,Thursday
2017-0060,1,2017-05-13,7.0,"ESCALADA AV. y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",8,-58.45966521,-34.67323292,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,30.0,fatal,Saturday
2017-0061,1,2017-05-15,13.0,PARAGUAY y CALLAO AV.,2,-58.39303911,-34.59871111,PEATON,MOTO,PEATON,masculino,47.0,fatal,Monday
2017-0062,1,2017-05-15,16.0,"JUSTO, JUAN B. AV. y SAN BLAS",10,-58.51262106,-34.63395999,MOTO,CARGAS,CONDUCTOR,masculino,35.0,fatal,Monday
2017-0063,1,2017-05-17,10.0,CHILE y 9 DE JULIO AV.,1,-58.38118367,-34.61646839,PEATON,PASAJEROS,PEATON,femenino,79.0,fatal,Wednesday
2017-0064,1,2017-05-20,5.0,"MAIPU y PERON, JUAN DOMINGO, TTE. GENERAL",1,-58.37653284,-34.60582475,CARGAS,AUTO,PASAJERO_ACOMPAÑANTE,masculino,61.0,fatal,Saturday
2017-0065,1,2017-05-22,16.0,SUAREZ AV. y HERRERA,4,-58.37709334,-34.64035082,BICICLETA,CARGAS,CICLISTA,masculino,21.0,fatal,Monday
2017-0066,1,2017-05-22,18.0,SAN MARTIN AV. y FRAGATA PRES. SARMIENTO,15,-58.46002142,-34.60409469,PEATON,PASAJEROS,PEATON,masculino,10.0,fatal,Monday
2017-0067,1,2017-05-23,2.0,"DIRECTORIO AV. y MORENO, JOSE MARIA AV.",6,-58.43381970,-34.62801894,MOTO,CARGAS,CONDUCTOR,masculino,21.0,fatal,Tuesday
2017-0068,1,2017-05-27,19.0,"RABANAL, FRANCISCO, INTENDENTE AV. 2950",8,-58.43580656,-34.66437532,MOTO,OBJETO FIJO,CONDUCTOR,masculino,32.0,fatal,Saturday
2017-0069,1,2017-05-24,14.0,"PAZ, GRAL. AV. y SCHMIDL, ULRICO",9,-58.52173071,-34.65997463,MOTO,,CONDUCTOR,masculino,39.0,fatal,Wednesday
2017-0070,1,2017-05-30,13.0,NUEVA YORK 3696,11,-58.50791763,-34.59804273,PEATON,AUTO,PEATON,masculino,80.0,fatal,Tuesday
2017-0072,1,2017-06-03,23.0,DE LOS CONSTITUYENTES AV. y VALLEJOS,12,-58.49175088,-34.58226957,AUTO,AUTO,CONDUCTOR,masculino,25.0,fatal,Saturday
2017-0073,1,2017-06-04,9.0,CORRIENTES AV. y ECUADOR,3,-58.40781467,-34.60425669,MOTO,AUTO,CONDUCTOR,masculino,19.0,fatal,Sunday
2017-0074,1,2017-06-04,12.0,CASCO 133,9,-58.52567073,-34.63787791,,,,masculino,70.0,fatal,Sunday
2017-0075,1,2017-06-12,22.0,DE MAYO AV. y 9 DE JULIO AV.,1,-58.38154200,-34.60906385,PEATON,MOTO,PEATON,masculino,55.0,fatal,Monday
2017-0076,1,2017-06-13,14.0,"CASTILLO, RAMON S., PRES. AV. y CALLE 12 (NO OFICIAL)",2,-58.38526125,-34.57805810,PEATON,CARGAS,PEATON,femenino,30.0,fatal,Tuesday
2017-0077,1,2017-06-17,23.0,FRAY JUSTO SANTAMARIA DE ORO 1930,14,-58.42934104,-34.58451712,MOTO,CARGAS,CONDUCTOR,femenino,60.0,fatal,Saturday
2017-0079,1,2017-06-19,16.0,MEXICO y DEAN FUNES,3,-58.40657493,-34.61781124,MOTO,CARGAS,CONDUCTOR,masculino,33.0,fatal,Monday
2017-0080,1,2017-06-22,10.0,"ALBERDI, JUAN BAUTISTA AV. y ESCALADA AV.",9,-58.49525314,-34.64487785,PEATON,CARGAS,PEATON,femenino,95.0,fatal,Thursday
2017-0082,1,2017-06-25,22.0,ENTRE RIOS AV. y BRASIL,4,-58.39092851,-34.62932696,PEATON,AUTO,PEATON,masculino,36.0,fatal,Sunday
2017-0083,1,2017-07-04,0.0,"ALBERDI, JUAN BAUTISTA AV. y GUARDIA NACIONAL",9,-58.49603546,-34.64564271,MOTO,CARGAS,CONDUCTOR,masculino,37.0,fatal,Tuesday
2017-0084,1,2017-07-05,12.0,DEL LIBERTADOR AV. y RODRIGUEZ PEÃ‘A,2,-58.38502878,-34.58703485,PEATON,PASAJEROS,PEATON,femenino,73.0,fatal,Wednesday
2017-0085,1,2017-07-07,14.0,"TACUARI y GARCIA, MARTIN AV.",4,-58.37261143,-34.63150425,PEATON,PASAJEROS,PEATON,masculino,84.0,fatal,Friday
2017-0086,1,2017-07-09,7.0,RIVADAVIA AV. y MURGUIONDO,9,-58.51876802,-34.63905965,PEATON,MOTO,PEATON,femenino,30.0,fatal,Sunday
2017-0087,1,2017-07-10,10.0,24 DE NOVIEMBRE 390,3,-58.41095567,-34.61516101,PEATON,AUTO,PEATON,femenino,73.0,fatal,Monday
2017-0088,1,2017-07-10,22.0,PASEO COLON AV. y BRASIL AV.,1,-58.36797542,-34.62519403,PEATON,PASAJEROS,PEATON,masculino,43.0,fatal,Monday
2017-0089,1,2017-07-13,12.0,"LEGUIZAMON, MARTINIANO 901",9,-58.51514709,-34.64787051,,AUTO,,masculino,23.0,lesionado,Thursday
2017-0090,1,2017-07-15,5.0,"CHIVILCOY AV. y PAZ, GRAL. AV.",11,-58.51925642,-34.59171721,PEATON,AUTO,PEATON,masculino,22.0,fatal,Saturday
2017-0091,1,2017-07-15,13.0,"SUPERI y PAZ, GRAL. AV.",12,-58.48671535,-34.54321216,MOTO,,CONDUCTOR,masculino,58.0,fatal,Saturday
2017-0092,1,2017-07-24,22.0,AUTOPISTA 25 DE MAYO y AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,1,-58.38268809,-34.62282019,PEATON,AUTO,PEATON,masculino,66.0,fatal,Monday
2017-0093,1,2017-07-25,16.0,"LUGONES, LEOPOLDO AV. y PUENTE DISTRIBUIDOR SCALABRINI ORTIZ",13,-58.43633522,-34.54966288,PEATON,AUTO,PEATON,masculino,,fatal,Tuesday
2017-0094,1,2017-07-27,8.0,"HUGO, VICTOR 2639",10,-58.52640838,-34.61765855,BICICLETA,CARGAS,CICLISTA,femenino,56.0,fatal,Thursday
2017-0095,1,2017-08-06,8.0,"CORDOBA AV. y SALGUERO, JERONIMO",14,-58.41894306,-34.59778875,MOTO,AUTO,CONDUCTOR,masculino,36.0,fatal,Sunday
2017-0096,1,2017-08-07,19.0,CABILDO AV. y NUÃ‘EZ,13,-58.46756026,-34.54972741,PEATON,PASAJEROS,PEATON,masculino,87.0,fatal,Monday
2017-0098,1,2017-08-08,12.0,"BONIFACIO, JOSE 2114",7,-58.45715752,-34.63132912,PEATON,AUTO,PEATON,femenino,61.0,fatal,Tuesday
2017-0099,1,2017-08-17,19.0,"FIGUEROA ALCORTA, PRES. AV. 5400",14,-58.42406784,-34.56213916,BICICLETA,AUTO,CICLISTA,masculino,28.0,fatal,Thursday
2017-0100,1,2017-08-21,7.0,REPUBLICA BOLIVARIANA DE VENEZUELA 2135,3,-58.39674470,-34.61512051,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,femenino,16.0,fatal,Monday
2017-0101,1,2017-08-23,10.0,"LACROZE, FEDERICO AV. y ZAPATA",13,-58.44537508,-34.57084818,PEATON,MULTIPLE,PEATON,femenino,61.0,fatal,Wednesday
2017-0102,1,2017-08-24,1.0,"IRIARTE, GRAL. AV. y ZAVALETA",4,-58.40056767,-34.65107080,PEATON,CARGAS,PEATON,masculino,46.0,fatal,Thursday
2017-0104,1,2017-08-25,9.0,9 DE JULIO AV. y ESTADOS UNIDOS,1,-58.38109568,-34.61853244,PEATON,CARGAS,PEATON,femenino,18.0,fatal,Friday
2017-0106,1,2017-08-31,19.0,FRAY JUSTO SANTAMARIA DE ORO y GUEMES,14,-58.42533612,-34.58035258,PEATON,PASAJEROS,PEATON,femenino,85.0,fatal,Thursday
2017-0107,1,2017-09-01,11.0,DEL LIBERTADOR AV. y JARAMILLO,13,-58.46062311,-34.54395182,MOTO,CARGAS,CONDUCTOR,masculino,41.0,fatal,Friday
2017-0108,2,2017-09-02,4.0,"PAZ, GRAL. AV. y MACHAIN",12,-58.49491054,-34.54795581,OBJETO FIJO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,17.0,fatal,Saturday
2017-0108,2,2017-09-02,4.0,"PAZ, GRAL. AV. y MACHAIN",12,-58.49491054,-34.54795581,OBJETO FIJO,AUTO,PASAJERO_ACOMPAÑANTE,masculino,10.0,fatal,Saturday
2017-0109,1,2017-09-04,21.0,DIRECTORIO AV. y PORTELA,7,-58.47130269,-34.63665402,MOTO,AUTO,CONDUCTOR,masculino,21.0,fatal,Monday
2017-0110,1,2017-09-06,14.0,"LAVALLE y ALEM, LEANDRO N. AV.",1,-58.37048800,-34.60189492,PEATON,PASAJEROS,PEATON,masculino,56.0,fatal,Wednesday
2017-0111,1,2017-09-07,18.0,USPALLATA y PIROVANO,4,-58.42023854,-34.64234110,PEATON,CARGAS,PEATON,femenino,79.0,fatal,Thursday
2017-0112,2,2017-09-10,9.0,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-58.45807401,-34.63997430,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,1.0,lesionado,Sunday
2017-0112,2,2017-09-10,9.0,AUTOPISTA 25 DE MAYO y VARELA AV.,7,-58.45807401,-34.63997430,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,,fatal,Sunday
2017-0113,1,2017-09-11,6.0,SANTA FE AV. y MAIPU,1,-58.37697717,-34.59573848,PEATON,PASAJEROS,PEATON,femenino,76.0,fatal,Monday
2017-0114,1,2017-09-15,2.0,ALVEAR AV. y DEL LIBERTADOR AV.,2,-58.39100580,-34.58498660,AUTO,OBJETO FIJO,CONDUCTOR,masculino,26.0,fatal,Friday
2017-0115,1,2017-09-19,18.0,PAVON AV. y TREINTA Y TRES ORIENTALES,5,-58.42182126,-34.63089661,MOTO,BICICLETA,CONDUCTOR,masculino,34.0,lesionado,Tuesday
2017-0116,1,2017-09-20,22.0,"PAZ, GRAL. AV. 5750",12,-58.51389422,-34.58075791,MOTO,OBJETO FIJO,CONDUCTOR,masculino,22.0,fatal,Wednesday
2017-0118,1,2017-09-22,7.0,"VIEYTES y CRUZ, OSVALDO AV.",4,-58.37585415,-34.65232158,MOTO,AUTO,PASAJERO_ACOMPAÑANTE,femenino,26.0,fatal,Friday
2017-0120,1,2017-10-02,15.0,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y ESCALADA AV.,9,-58.47297505,-34.66245085,MOTO,CARGAS,CONDUCTOR,masculino,20.0,fatal,Monday
2017-0123,1,2017-10-10,1.0,ALBARIÃ‘O y ARGENTINA AV.,8,-58.46855503,-34.67216349,PEATON,AUTO,PEATON,femenino,36.0,fatal,Tuesday
2017-0124,1,2017-10-12,14.0,"RAMIREZ DE VELASCO, JUAN 1211",15,-58.44254033,-34.59185043,MOTO,PASAJEROS,CONDUCTOR,masculino,51.0,fatal,Thursday
2017-0125,1,2017-10-13,6.0,"FERNANDEZ DE LA CRUZ, F., GRAL. AV. y LARRAYA",8,-58.46622247,-34.67926929,MOTO,OBJETO FIJO,CONDUCTOR,masculino,29.0,fatal,Friday
2017-0126,2,2017-10-14,6.0,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-58.48003734,-34.68148508,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,39.0,lesionado,Saturday
2017-0126,2,2017-10-14,6.0,RIESTRA AV. y CAÃ‘ADA DE GOMEZ,8,-58.48003734,-34.68148508,AUTO,OBJETO FIJO,CONDUCTOR,masculino,36.0,fatal,Saturday
2017-0127,1,2017-10-16,7.0,GALLO y CORDOBA AV.,2,-58.41192137,-34.59800248,MOTO,MOTO,PASAJERO_ACOMPAÑANTE,masculino,24.0,fatal,Monday
2017-0128,1,2017-10-17,12.0,"ARANGUREN, JUAN F., DR. 611",6,-58.44034689,-34.61349731,PEATON,PASAJEROS,PEATON,femenino,60.0,fatal,Tuesday
2017-0129,1,2017-10-26,19.0,AUTOPISTA PERITO MORENO y AUTOPISTA 25 DE MAYO,9,-58.47155277,-34.64925746,MOTO,PASAJEROS,CONDUCTOR,masculino,57.0,fatal,Thursday
2017-0130,1,2017-10-27,5.0,CHORROARIN y SAN MARTIN AV.,15,-58.47883099,-34.59967065,AUTO,CARGAS,CONDUCTOR,masculino,23.0,fatal,Friday
2017-0132,1,2017-10-30,14.0,"COSQUIN y ROCA, CNEL. AV.",8,-58.46552171,-34.69374130,MOTO,PASAJEROS,CONDUCTOR,masculino,23.0,fatal,Monday
2017-0134,1,2017-11-06,18.0,"ROCA, CNEL. AV. 3555",8,-58.44239720,-34.66777987,PEATON,PASAJEROS,PEATON,femenino,47.0,fatal,Monday
2017-0135,1,2017-11-07,12.0,WARNES AV. y PUNTA ARENAS,15,-58.47032551,-34.59626814,MOTO,CARGAS,CONDUCTOR,masculino,24.0,fatal,Tuesday
2017-0136,1,2017-11-16,8.0,"BARCO CENTENERA DEL y RABANAL, FRANCISCO, INTENDENTE AV.",4,-58.41827843,-34.65522746,PEATON,PASAJEROS,PEATON,masculino,55.0,fatal,Thursday
2017-0137,1,2017-11-17,11.0,MOSCONI GENERAL AV. y SAN NICOLAS,11,-58.51280715,-34.59279388,PEATON,CARGAS,PEATON,femenino,60.0,fatal,Friday
2017-0138,1,2017-11-19,10.0,"LAFUENTE AV. y PERON, EVA AV.",7,-58.46258582,-34.64385704,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,masculino,25.0,fatal,Sunday
2017-0139,1,2017-11-19,22.0,"ROCA, CNEL. AV. y ESCALADA AV.",8,-58.45064148,-34.68003614,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,femenino,15.0,fatal,Sunday
2017-0140,1,2017-11-19,23.0,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,4,.,.,MOTO,PASAJEROS,CONDUCTOR,masculino,24.0,fatal,Sunday
2017-0141,1,2017-11-23,19.0,"LA PLATA AV. y GOYENA, PEDRO AV.",6,-58.42717783,-34.62513374,PEATON,PASAJEROS,PEATON,femenino,22.0,fatal,Thursday
2017-0143,1,2017-11-25,21.0,"TRELLES, MANUEL R. y DIAZ, CESAR, GRAL.",11,-58.46442001,-34.60724519,AUTO,PASAJEROS,CONDUCTOR,masculino,50.0,fatal,Saturday
2017-0144,1,2017-11-26,6.0,"ROCA, CNEL. AV. y PAZ, GRAL. AV.",8,-58.47064556,-34.69843756,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,femenino,50.0,fatal,Sunday
2017-0145,1,2017-11-26,17.0,MAZA y DON BOSCO,5,-58.41677733,-34.61223119,MOTO,AUTO,CONDUCTOR,masculino,58.0,fatal,Sunday
2017-0147,1,2017-11-28,11.0,"PAZ, GRAL. AV. y PERON, EVA AV.",9,-58.50251790,-34.67450313,MOTO,AUTO,CONDUCTOR,masculino,49.0,fatal,Tuesday
2017-0148,1,2017-11-29,10.0,SAN JUAN AV. y LA RIOJA,3,-58.40708125,-34.62438894,PEATON,PASAJEROS,PEATON,femenino,82.0,fatal,Wednesday
2017-0149,1,2017-11-30,12.0,PASEO COLON AV. y MEXICO,1,-58.36947198,-34.61477051,PEATON,PASAJEROS,PEATON,masculino,13.0,fatal,Thursday
2017-0150,1,2017-12-04,1.0,RIVADAVIA AV. y MIRALLA,9,-58.51140889,-34.63934531,PEATON,AUTO,PEATON,masculino,56.0,fatal,Monday
2017-0151,1,2017-12-04,2.0,VIEYTES y LUJAN,4,-58.37460912,-34.65559133,PEATON,PASAJEROS,PEATON,masculino,,fatal,Monday
2017-0152,1,2017-12-06,17.0,CACHI y TRAFUL,4,-58.41146277,-34.65073916,BICICLETA,PASAJEROS,CICLISTA,masculino,19.0,fatal,Wednesday
2017-0153,2,2017-12-11,2.0,ROSARIO y LA PLATA AV.,6,-58.42855267,-34.61829385,MOTO,PASAJEROS,PASAJERO_ACOMPAÑANTE,masculino,,fatal,Monday
2017-0153,2,2017-12-11,2.0,ROSARIO y LA PLATA AV.,6,-58.42855267,-34.61829385,MOTO,PASAJEROS,CONDUCTOR,masculino,30.0,fatal,Monday
2017-0154,1,2017-12-11,9.0,ENTRE RIOS AV. y CASEROS AV.,4,-58.39035581,-34.63412287,PEATON,PASAJEROS,PEATON,masculino,76.0,fatal,Monday
2017-0155,1,2017-12-12,21.0,RIVADAVIA AV. 6350,7,-58.45593915,-34.62656868,,MOTO,,masculino,77.0,lesionado,Tuesday
2017-0157,1,2017-12-17,9.0,"PAZ, GRAL. AV. y HUMAITA",9,-58.52866211,-34.64597065,AUTO,PASAJEROS,CONDUCTOR,masculino,53.0,fatal,Sunday
2017-0158,1,2017-12-18,21.0,"GUALEGUAYCHU y PAZ, GRAL. AV.",11,-58.52037476,-34.59407024,MOTO,AUTO,CONDUCTOR,masculino,32.0,fatal,Monday
2017-0159,1,2017-12-20,4.0,"INDEPENDENCIA AV. y CEVALLOS, VIRREY",1,-58.38896772,-34.61799615,MOTO,AUTO,CONDUCTOR,masculino,27.0,fatal,Wednesday
2017-0160,1,2017-12-22,13.0,NAZCA AV. 365,7,-58.47074114,-34.62771756,PEATON,MOTO,PEATON,femenino,30.0,fatal,Friday
2017-0161,1,2017-12-26,15.0,"PERON, EVA AV. 5249",9,-58.48200819,-34.65969965,PEATON,AUTO,PEATON,femenino,30.0,fatal,Tuesday
